timestamp,dining_temp,dining_hum,outdoor_temp,outdoor_hum,bathroom_temp,bathroom_hum,bedroom_temp,Bedroom_hum
2026-08-13 00:00:00+00:00,53.73,70.82,73.03,78.94,72.22,54.88,75.39,69.05
2026-08-13 01:00:00+00:00,52.61,70.34,78.94,77.12,78.22,54.01,75.67,69.06
2026-08-13 02:00:00+00:00,55.43,70.14,81.68,75.97,76.28,53.31,74.77,69.29
2026-08-13 03:00:00+00:00,53.83,69.73,82.43,75.61,61.84,53.95,73.18,69
2026-08-13 04:00:00+00:00,58.28,70.13,83,75.42,62.28,58.94,72.69,69.73
2026-08-13 05:00:00+00:00,59.94,70.1,82.53,75.02,64.21,62,72.5,70.49
2026-08-13 06:00:00+00:00,58.92,70.1,84.75,74.48,64.42,64.19,72.29,70.7
2026-08-13 07:00:00+00:00,58.86,70.1,86.07,73.59,64.3,65.36,72.18,70.8
2026-08-13 08:00:00+00:00,58,70.07,85.33,73.21,63.83,64.81,72.01,70.66
2026-08-13 09:00:00+00:00,52.65,68.95,83.22,72.66,58.91,59.34,71.65,70.09
2026-08-13 10:00:00+00:00,52.12,68.44,84.56,71.8,55.42,56.31,71,69.5
2026-08-13 11:00:00+00:00,54.48,68.3,85.56,71.91,58.52,57.32,71.64,69.64
2026-08-13 12:00:00+00:00,54.89,68.47,80.07,74.47,59.66,56.09,71.16,69.51
2026-08-13 13:00:00+00:00,56.7,69.17,72.43,77.53,64.33,57.42,71.23,70.42
2026-08-13 14:00:00+00:00,58.37,69.9,68.11,80.2,66.78,57.82,71.66,71.08
2026-08-13 15:00:00+00:00,60,70.57,63.94,82.56,68.17,58.11,72.25,71.79
2026-08-13 16:00:00+00:00,60.68,71.35,60.86,84.37,68.62,58.33,73.01,72.68
2026-08-13 17:00:00+00:00,59.39,71.99,58.17,86.16,68.97,57.02,73.63,73.38
2026-08-13 18:00:00+00:00,53.33,71.7,56.17,87.25,66.73,50.31,73.93,73.13
2026-08-13 19:00:00+00:00,54,71.75,55.74,87.63,64.21,47.8,74.09,72.74
2026-08-13 20:00:00+00:00,53.04,71.57,57.26,87.27,62.12,46.71,74.13,72.38
2026-08-13 21:00:00+00:00,53.53,71.46,60.76,86.35,60.15,45.89,74.08,72.1
2026-08-13 22:00:00+00:00,53.3,70.98,62.55,85.46,58.78,45.26,73.96,71.79
2026-08-13 23:00:00+00:00,53.81,70.79,67.76,83.5,58.22,44.83,73.77,71.49
2026-08-14 00:00:00+00:00,54.91,70.57,75.61,79.97,57.93,45.06,73.73,71.04
2026-08-14 01:00:00+00:00,52.42,69.38,78.77,78.09,57.19,49.2,74.04,68.79
2026-08-14 02:00:00+00:00,51.81,68.67,83,77.01,56.61,50.91,73.09,66.91
2026-08-14 03:00:00+00:00,53.68,68.5,84.46,76.79,55.31,54.67,72.97,66.63
2026-08-14 04:00:00+00:00,57.58,69.23,84.12,76.56,73.73,58.11,74.56,66.9
2026-08-14 05:00:00+00:00,57.45,69.56,85.45,75.72,66.07,59.1,72.9,67
2026-08-14 06:00:00+00:00,57.6,69.73,87.67,74.66,64.01,60.66,72.36,66.76
2026-08-14 07:00:00+00:00,58.71,69.85,89.47,74.14,62.9,61.19,72.15,66.71
2026-08-14 08:00:00+00:00,58.55,69.98,89.65,73.72,62.52,61.81,72.01,66.52
2026-08-14 09:00:00+00:00,52.81,69.03,90.46,73.31,57.65,59.5,71.7,65.41
2026-08-14 10:00:00+00:00,51.95,68.32,89.24,73.42,54.7,60.3,71.18,65.95
2026-08-14 11:00:00+00:00,53.05,68.45,85.55,74.41,58.76,60.8,71.08,66.2
2026-08-14 12:00:00+00:00,54.19,68.35,81.04,75.74,59.85,59.55,71.98,66.36
2026-08-14 13:00:00+00:00,54.76,68.48,77.9,76.87,56.89,57.18,72.19,64.92
2026-08-14 14:00:00+00:00,55.13,68.55,74.8,77.87,56.09,60.38,72.28,65.96
2026-08-14 15:00:00+00:00,55.48,68.31,72.78,78.7,57.72,57.37,73.3,67.12
2026-08-14 16:00:00+00:00,60.59,69.86,70.66,79.81,62.02,58.61,73.92,67.98
2026-08-14 17:00:00+00:00,54.04,70.49,71.58,80.04,57.58,55.28,73.72,68.26
